genome,D300418,D300419,D300420,D300421,D300422,D300423,D300424,D300425,D300426,D300427,D300428,D300429,D300430,D300431,D300432,D300433,D300434,D300435,D300436,D300437,D300438,D300439,D300440,D300441,D300442,D300443,D300444,D300445,D300446,D300447,D300448,D300449,D300450,D300451,D300452,D300453,D300454,D300455,D300456,D300457,D300458,D300459,D300460,D300461,D300462,D300463,D300464,D300465,D300466,D300467,D300468,D300469,D300470,D300471,D300472,D300473,D300474,D300475,D300476,D300477,D300478,D300479,D300480,D300481,D300482,D300483,D300484,D300485,D300486,D300487,D300488,D300489,D300490,D300491,D300492,D300493,D300494,D300495,D300496,D300497,D300498,D300499,D300500,D300501,D300502,D300503,D300504,D300505,D300506,D300507,D300508,D300509,D300510,D300511,D300512,D300513,D300514,D300515,D300516,D300517,D300518,D300519,D300520,D300521,D300522,D300523,D300524,D300525,D300526,D300527,D300528,D300529,D300530,D300531
D300418:bin_000001,127.436,0,0,0,0,0,0,0,0,35.405,0,0,0,0,0,0,0,0,0,0,0,122.731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.8,0,0,0,0,0,0,0,0,49.143,0,0,0,0,0,0,0,92.8,0,0,27.946,0,0,0,0,0,26.104,0,0,0,0,0,28.036,0,0,0,0,83.377,83.032,0,0,0,0,0,0,0,34.886,0,0,0,0,0,0,0,17.837,0,0,0,0,0,0,44.424,0,0,0,0,0,0,0,36.629,0,0,0,0
D300418:bin_000013,23.221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300428:bin_000008,0,0,0,0,0,0,0,0,0,0,40.092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.254,0,0,0,0,0,0,0,6.828,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300430:bin_000010,5.87,6.29,74.145,9.754,0,0,0,1.439,0,1.219,17.597,4.218,235.59,1.487,0,5.069,0,0,14.243,0,14.449,9.404,0,0,0,2.789,0,0,0,0,9.765,14.326,0,0,18.026,0,0,2.258,0,0,0,4.897,3.488,0,27.259,3.09,12.526,0,6.933,2.555,0,16.839,0,12.119,0,0,12.395,7.697,4.905,0,0,6.245,4.819,0,0,7.567,0,0,2.861,6.336,21.318,10.402,8.181,3.952,0,7.759,0,0,2.799,0,0,12.927,9.659,0,7.472,5.73,3.741,10.233,4.249,6.558,3.154,10.292,4.597,6.303,0,5.96,13.061,5.296,10.221,3.287,14.037,0,23.439,3.226,0,0,7.633,0,5.783,1.929,0,2.608,0,0
D300432:bin_000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.57,0,0,2.72,0,0,0,0,0,0.951,0,0,2.726,0,0,0,0,0,0,0,0,0,0,0,0,5.866,0,2.858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.368,0,0,0,0,0,181.501,0,0,0,0,1.62,0,0,0,0,0,0,1.41,0,0,0,0,0,0,32.534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300435:bin_000001,11.709,6.106,31.739,16.026,22.93,88.249,19.836,18.791,48.342,4.419,35.044,26.903,1.466,30.19,0,13.826,52.392,69.955,38.938,13.905,31.839,21.442,38.816,66.721,33.162,1.001,0,49.228,48.528,18.46,42.28,43.194,32.561,17.425,54.099,27.464,10.712,47.386,32.86,48.627,17.09,27.775,44.697,31.296,22.71,94.603,2.831,41.679,6.401,11.612,23.281,27.307,22.855,8.698,3.415,9.76,1.447,7.428,14.139,33.22,14.853,51.838,28.447,35.71,0,25.9,3.994,28.955,4.88,20.273,0,28.806,11.807,18.51,17.552,1.849,72.618,4.42,7.228,4.342,10.979,6.176,11.077,0,22.076,7.834,10.186,12.472,0,31.015,11.352,12.311,25.525,10.458,5.595,24.964,0,0,26.634,16.463,22.254,8.73,18.633,15.502,1.049,34.742,10.621,6.514,0,1.713,13.43,5.732,0,0
D300442:bin_000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.51,0,0,13.436,0,0,0,0,0,58.096,0,0,5.311,0,0,0,0,0,0,0,0,0,9.238,0,0,1.894,0,0,0,0,0,0,0,0,0,0,0,14.105,0,0,0,0,0,0,15.197,0,11.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D300442:bin_000015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.912,0,0,0,12.704,0,0,0,0,5.097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.368,0,0,0,4.124,0,11.174,0,0,0,9.467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.882,0,0,0,1.538,0,0,0,0,0,0,0
D300443:bin_000002,0,0,0,0,0,0,0,1.155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.464,0,0,0,0,0,4.91,0,0,0,0,1.315,0,0,0,0,0,1.15,1.101,0,0,0,0,0,4.361,0,0,0,0,11.961,0,0,0,0,0
D300443:bin_000003,0,0,0,2.82,0,0,0,0,0,0,3.584,0,0,0,0,0,0,0,0,0,2.147,0,0,0,0,59.989,0,0,0,0,0,0,0,0,0,4.886,1.167,0,0,0,0,0,0,0,0,0,7.442,2.777,2.075,0,0,22.19,0,0,0,0,29.677,0,0,0,0,0,0.96,0,0,1.28,0,0,0,0,9.879,3.449,0,8.337,0,9.824,0,2.417,0,3.544,0,26.808,0,0,0,1.113,0,4.594,0,0,4.88,3.336,1.622,6.697,2.592,0,9.263,4.235,1.942,2.314,16.858,0,13.147,41.793,0,4.974,66.691,0,33.426,0,0,1.227,0,0
D300444:bin_000010,16.554,32.523,30.896,21.477,11.958,37.608,16.868,11.406,36.04,16.51,43.04,28.05,9.537,46.548,76.967,14.722,29.016,41.556,46.927,15.245,38.291,38.222,25.479,44.724,49.227,7.645,60.344,13.774,33.194,18.975,26.33,28.559,17.583,8.217,59.387,25.253,6.602,35.478,20.642,32.693,17.028,30.012,46.145,25.242,36.45,43.245,21.849,33.036,16.913,57.863,1.223,31.703,36.547,26.354,14.424,26.437,13.962,29.041,18.119,98.82,17.971,29.414,16.514,36.76,38.637,8.616,6.286,16.015,11.84,21.346,6.885,14.625,11.647,16.626,61.981,12.173,47.357,15.829,13.206,21.036,0,11.845,9.993,33.807,13.766,13.317,10.673,11.46,21.501,24.263,6.353,29.982,10.966,12.213,7.379,31.485,6.186,10.658,35.914,12.085,18.285,17.35,29.895,9.636,10.123,25.171,15.748,1.498,6.346,12.74,18.982,11.485,0,0
D300452:bin_000016,40.342,52.094,52.087,81.093,32.105,40.835,101.875,74.8,109.67,29.814,4.972,50.546,35.798,61.936,0,127.114,64.549,87.453,146.779,28.701,42.895,64.846,116.93,79.49,151.867,33.713,0,118.139,89.12,113.088,32.762,114.514,103.837,95.512,48.967,51.813,99.899,50.338,145.056,63.793,26.389,44.343,71.697,115.627,129.857,81.286,22.345,46.327,50.298,47.81,98.017,72.339,226.536,18.676,48.972,28.516,42.279,52.08,46.653,118.591,46.627,58.303,67.07,110.774,0,59.104,16.886,105.587,36.755,34.458,26.989,30.787,24.696,22.863,41.228,10.438,46.419,26.316,13.637,13.967,60.672,50.18,12.17,32.561,39.633,17.827,44.563,40.517,73.078,51.644,23.794,10.153,27.103,20.971,29.73,50.334,10.199,13.555,10.403,3.727,23.338,33.117,75.599,17.781,70.643,96.427,54.835,108.158,31.803,15.269,24.298,20.438,0,0
D300458:bin_000001,283.853,0,0,0,348.404,0,0,0,198.403,72.2,73.2,0,0,0,0,0,0,0,0,277.707,0,256.22,48.087,0,0,0,0,0,0,150.278,0,0,0,0,0,380.765,0,0,0,0,134.996,0,0,124.373,0,0,0,150.9,0,242.991,0,0,0,0,0,126.325,0,494.518,0,0,160.869,0,6.475,0,0,0,109.585,136.424,22.689,0,0,0,49.524,0,0,0,0,199.517,122.316,0,0,0,0,0,0,0,112.113,0,67.16,0,0,126.856,0,0,139.469,0,0,0,0,20.016,0,256.161,0,0,0,313.252,0,0,0,120.429,35.382,1.519,0,0
D300462:bin_000001,0,0,257.053,69.785,0,0,0,0,0,0,207.233,0,19.766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.392,0,0,113.077,0,0,0,0,345.88,0,0,190.277,0,0,0,178.314,0,236.219,0,0,0,0,0,0,0,107.677,0,0,0,68.916,0,0,95.998,0,0,0,249.679,0,0,0,0,0,0,0,0,0,0,152.301,0,0,0,0,0,0,0,0,0,0,84.344,56.674,0,0,0,0,0,201.438,76.645,0,0,0,0,0,0,0,77.865,0,0,0,40.018,0,0
D300472:bin_000003,0,0,0,0,2.443,0,0,0,0,0,0,16.587,0,34.19,0,0,0,0,0,1.585,98.561,0,0,0,0,5.632,0,0,0,0,27.179,0,0,0,76.322,11.129,0,0,0,0,0,0,0,0,0,25.754,0,7.462,0,0,0,0,0,14.139,77.767,0,8.734,0,0,0,0,0,0,0,0,0,0,0,0,0,31.275,73.048,0,19.44,0,0,0,0,0,3.217,0,0,22.364,0,13.434,0,0,0,0,0,4.039,0,0,131.593,0,0,8.157,2.019,0,0,51.503,0,0,6.911,61.448,7.359,0,0,8.939,0,0,0,0,0
D300474:bin_000012,0,0,0,6.225,2.67,0,0,0,0,0,3.305,0,0,0,0,0,0,0,0,2.494,5.666,0,0,0,0,19.89,0,0,0,3.428,4.677,0,0,0,0,2.025,0,0,0,0,0,0,0,3.192,0,0,0,0,0,0,0,0,0,0,0,0,47.721,0,0,0,0,0,8.705,0,0,0,0,0,0,0,6.88,12.16,0,8.258,0,0,0,1.848,0,0,0,0,1.69,0,4.287,0,0,0,0,0,19.496,3.351,3.098,6.221,1.867,0,17.043,0,0,1.519,4.57,0,0,8.072,0,3.234,0,0,5.968,0,0,1.375,0,0
D300475:bin_000015,2.283,0,0,0,1.888,0,0,0,0,1.746,0,0,0,0,0,0,0,0,0,3.679,0,2.685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.968,0,0,0,0,0,0,0,0,5.001,0,0,0,0,0,12.528,0,34.446,0,0,1.799,0,0,0,0,0,1.578,0,3.157,0,0,0,0,0,0,0,0,7.388,0,0,0,0,0,0,0,0,3.234,0,7.121,0,0,0,0,0,0,0,0,0,0,0,0,11.481,0,0,0,0,0,0,0,5.914,0,0,0,0
D300479:bin_000001,10.6,0,0,0,1.717,2.808,3.358,1.322,4.659,2.998,0,0,0,6.53,8.986,0.79,1.257,0.902,15.43,0.778,3.024,9.86,1.353,2.289,6.524,0,26.719,3.478,0,1.93,2.81,0,1.569,0,0,2.38,0,0,1.148,2.673,2.252,0,0,7.942,0,3.091,3.586,1.218,0,4.742,0,4.711,1.486,0,0,2.108,2.742,4.405,0,0,1.684,37.914,0,1.821,20.286,0,4.883,0.918,0,0,6.536,1.757,7.064,1.232,0,2.087,5.521,5.204,3.332,0,0,1.29,1.223,6.425,1.561,0,0,0,0.762,1.494,1.758,0,0,0,0,0.777,1.312,0.925,0,0,0,5.215,1.071,4.813,0,2.054,0,0,0,1.038,0,0,0,0
D300479:bin_000005,0,0,0,0,0,0,0,0,0,0,0,2.143,0,10.944,0,4.057,10.322,0,7.309,0,8.135,0,0,0,8.423,0,0,0,0,0,1.389,0,0,0,0,0,0,9.989,0,0,0,0,7.365,0,0,0,4.659,0,0,0,0,3.6,5.343,0,1.613,0,0,0,0,8.753,0,21.699,0,0,0,0,0,0,0,0,0,0,0,0.9,0,1.955,0,0,0,1.069,0,1.288,1.974,0,0,2.034,0,3.438,0,6.312,0,0,0,1.854,0,4.873,0,2.139,0,0,1.26,0,2.377,0,2.778,0,1.292,0,0,0,0,0,0,0
D300481:bin_000002,0,0,0,28.676,25.393,120.476,29.872,28.023,117.606,0,27.063,14.92,0,92.599,50.273,87.368,29.336,56.875,58.003,32.263,11.283,0,36.391,110.996,13.744,4.67,124.628,262.194,0,49.733,8.856,0,17.282,54.643,5.241,69.415,45.168,8.991,51.884,108.649,0,174.094,12.33,88.873,0,54.379,5.614,38.314,35.877,0,61.467,8.003,96.126,4.62,2.408,0,7.631,0,66.033,26.527,0,117.585,41.056,114.733,137.515,14.471,0,46.59,0,200.678,17.108,35.705,0,4.003,0,2.714,91.238,0,0,12.079,52.919,9.821,5.065,0,5.582,6.636,0,1.797,0,10.746,20.949,52.622,16.26,3.296,0,21.045,2.613,8.658,59.031,10.861,6.926,0,5.125,8.024,0,32.667,5.083,49.393,11.981,0,0,7.984,0,0
D300482:bin_000009,0,0,0,0,3.86,0,4.997,6.596,5.259,0,0,0,0,0,2.29,0,0,72.859,0,3.177,0,0,5.156,14.197,0,0,0,0,0,3.885,0,0,6.132,0,0,3.92,0,0,6.657,2.349,0,0,0,7.725,0,0,0,4.794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.451,85.85,0,0,4.456,0,0,0,0,0,0,0,0,14.575,0,0,0,0,0,0,9.317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.372,0,0,0,0,0,0,0,0
D300491:bin_000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.598,0,0,0,0,0,39.195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.714,0,65.847,0,0,0,0,0,0,0,0,24.889,0,0,0,0,0,0,0,37.671,0,0,0,0,0,8.341,0,0,0,0,0,0,49.461,0,0,0,0,0.641,0,0,0,0,0
D300492:bin_000003,4.056,83.206,42.756,84.863,13.748,21.913,8.69,10.276,42.692,0,65.772,124.758,7.114,44.681,118.406,4.66,17.465,28.82,20.387,10.423,30.383,6.151,27.93,39.916,18.266,36.796,44.606,39.285,32.674,25.504,71.101,48.116,34.458,38.899,52.513,37.278,5.799,22.22,34.449,28.074,3.395,140.75,8.719,51.567,12.605,96.011,5.682,44.192,50.845,8.92,48.652,38.944,6.166,8.595,8.869,12.832,71.126,0,5.656,8.684,3.353,70.009,3.081,89.62,70.157,15.782,1.338,30.136,13.204,22.12,78.384,59.379,8.811,59.531,362.503,18.799,54.192,0,13.921,15.481,0,7.941,29.028,41.622,48.443,6.478,3.776,3.339,0,13.523,32.45,27.301,52.668,31.78,1.761,26.015,48.931,1.578,48.318,19.209,45.09,36.515,29.177,35.035,21.974,8.556,22.742,50.99,61.06,0,116.37,2.27,0,0
D300493:bin_000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.992,0,0,0,0,76.539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.567,0,0,0,76.027,0,120.236,0,0,0,107.312,0,31.822,0,0,0,0,0,0,0,0,0,34.154,0,0,0,0,54.333,0,0,0,77.755,0,0,0,0,0,0,0
D300499:bin_000015,0,0,0,0,0,0,0,0,0,0,12.857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.556,0,4.747,0,0,82.094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.264,0,0,0,46.522,0,72.573,0,0,0,63.606,0,22.093,0,0,0,1.934,0,0,0,0,0,36.67,0,0.981,0,0,75.82,0,0,0,23.465,0,0,0,0,16.545,0,0
D300500:bin_000011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.216,0,0,0,0,155.917,0,0,0,0,152.383,0,0,0,12.922,0,0,0,0,0,0,0,0,0,0,27.903,0,0,0,0,0,0,0,47.518,74.372,0,82.664,0,0,0,0,0,0,0,0,0,0,0,0,0,155.149,9.057,0,73.736,0,0,0,0,0,0,0,0,74.059,0,60.37,0,0,0,0,0,123.002,0,0,77.305,0,0,54.816,0,0,0,78.904,0,0,97.003,117.969,0,0,0,119.642,0,0,0,0,0
D300506:bin_000004,57.312,0,101.767,19.735,38.62,155.38,105.539,65.837,117.366,10.09,0,10.339,16.982,0,140.703,11.171,55.407,153.578,53.822,32.466,19.536,86.818,100.806,129.331,6.152,4.439,29.499,0,17.441,64.008,4.542,6.749,62.905,66.046,0,44.274,56.107,44.191,78.71,122.09,54.857,98.449,32.956,92.129,82.755,12.137,0,66.32,13.444,68.528,9.292,27.007,39.87,7.442,8.852,97.422,5.903,113.484,69.348,0,24.632,0,0,141.321,173.656,37.711,6.067,73.776,80.818,77.442,72.285,111.204,40.163,23.185,0,0,139.331,65.181,19.904,1.734,38.671,0,12.23,111.854,9.888,0,53.703,22.161,139.002,46.749,2.639,12.818,10.193,22.848,65.584,44.925,0,0,112.554,0,3.829,72.906,17.199,0,5.392,4.262,30.552,8.904,3.933,50.177,109.482,9.682,0,0
D300509:bin_000001,0,0,0,24.506,0,0,0,0,0,0,0,2.805,0,0,0,0,0,0,0,0,17.716,0,0,0,0,21.366,0,0,0,0,23.825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.147,0,4.988,0,0,2.987,0,2.805,20.345,0,22.151,0,0,0,0,0,7.28,0,0,21.419,0,0,0,0,14.071,9.294,0,10.58,0,14.839,0,1.364,0,26.153,0,15.928,5.653,0,13.381,36.393,0,4.832,0,0,13.114,40.437,6.188,16.211,0.667,0,12.262,5.877,9.356,20.64,11.845,0,3.75,13.334,8.536,0,8.337,0,19.714,0,0,15.741,0,0
D300511:bin_000002,0,0,0,0,0,0,0,0,0,0,0,166.461,0,6.489,0,0,49.571,0,0,0,136.634,0,0,0,0,287.421,0,0,0,0,202.925,0,0,0,7.9,0,0,55.17,0,0,0,0,81.578,0,0,1.612,423.584,0,0,0,0,221.304,0,8.772,54.068,0,370.101,0,0,0,0,0,0,0,0,0,0,0,0,0,239.448,116.247,0,205.057,0,247.732,0,0,0,278.498,0,194.254,59.044,0,128.608,111.695,0,143.002,0,136.486,62.991,0,0,158.918,0,123.961,272.489,204.202,0,0,180.251,0,404.01,115.451,58.936,0,221.694,0,52.741,0,0,0,0,0
D300511:bin_000016,0,0,0,0,1.889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.419,0,0,0,0,7.575,0,0,0,0,20.649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.391,0,0,0,0,0,0,0,0,0,0,0,0,0,7.97,6.058,0,7.399,0,0,0,0,0,0,0,0,17.914,0,8.552,0,0,0,0,0,23.612,0,0,21.488,1.93,0,30.799,0,0,0,10.799,0,0,13.423,0,0,0,0,17.864,0,0,0,0,0
D300514:bin_000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.183,0,0,0,0,0,0,7.249,0,0,0,0,30.475,0,0,0,0,0
